         TOF        Yobs       sYobs       Ycalc
     3571.91    38499.00      422.00    37579.00
     3573.70    38392.00      418.00    37717.00
     3575.49    38188.00      421.00    37836.00
     3577.28    38157.00      417.00    37888.00
     3579.07    38432.00      422.00    37789.00
     3580.85    38167.00      421.00    37517.00
     3582.64    37217.00      412.00    37085.00
     3584.43    36825.00      414.00    36544.00
     3586.22    36480.00      408.00    35945.00
     3588.01    35444.00      406.00    35330.00
     3589.81    35221.00      401.00    34775.00
     3591.61    34614.00      398.00    34274.00
     3593.41    34280.00      399.00    33868.00
     3595.20    34445.00      397.00    33563.00
     3597.00    33982.00      394.00    33382.00
     3598.79    33644.00      395.00    33349.00
     3600.59    33525.00      392.00    33470.00
     3602.39    34268.00      396.00    33734.00
     3604.20    35344.00      402.00    34104.00
     3606.01    35088.00      401.00    34522.00
     3607.81    35159.00      401.00    34920.00
     3609.62    36389.00      409.00    35273.00
     3611.41    35945.00      410.00    35580.00
     3613.21    36150.00      407.00    35899.00
     3615.01    37053.00      413.00    36310.00
     3616.82    37941.00      418.00    36881.00
     3618.64    38063.00      415.00    37611.00
     3620.46    39040.00      424.00    38450.00
     3622.27    40026.00      430.00    39261.00
     3624.08    40705.00      433.00    39928.00
     3625.89    40955.00      435.00    40380.00
     3627.69    40257.00      431.00    40639.00
     3629.51    41084.00      432.00    40878.00
     3631.34    41461.00      438.00    41293.00
     3633.14    42130.00      442.00    42091.00
     3634.95    43620.00      450.00    43405.00
     3636.77    45230.00      454.00    45237.00
     3638.59    47006.00      468.00    47393.00
     3640.42    49701.00      477.00    49549.00
     3642.24    51920.00      492.00    51318.00
     3644.05    52408.00      495.00    52410.00
     3645.87    52980.00      494.00    52698.00
     3647.71    51877.00      488.00    52207.00
     3649.53    50884.00      488.00    51127.00
     3651.35    50073.00      480.00    49711.00
     3653.17    48134.00      474.00    48216.00
     3655.00    47037.00      465.00    46860.00
     3656.83    45641.00      458.00    45763.00
     3658.66    44848.00      457.00    45034.00
     3660.48    45120.00      455.00    44668.00
     3662.31    44677.00      453.00    44606.00
     3664.15    44769.00      454.00    44717.00
     3665.99    44626.00      453.00    44837.00
     3667.81    44526.00      456.00    44823.00
     3669.64    44130.00      451.00    44588.00
     3671.47    43371.00      447.00    44103.00
     3673.31    43135.00      446.00    43436.00
     3675.15    42534.00      442.00    42667.00
     3676.99    41987.00      440.00    41904.00
     3678.82    41282.00      436.00    41256.00
     3680.66    40883.00      434.00    40835.00
     3682.50    39790.00      428.00    40743.00
     3684.35    41152.00      432.00    41061.00
     3686.20    41786.00      439.00    41810.00
     3688.04    43162.00      446.00    42903.00
     3689.88    44617.00      454.00    44221.00
     3691.72    46688.00      465.00    45617.00
     3693.57    46978.00      463.00    46996.00
     3695.42    48196.00      473.00    48345.00
     3697.26    50199.00      483.00    49740.00
     3699.11    51522.00      486.00    51325.00
     3700.97    53078.00      497.00    53163.00
     3702.82    55256.00      504.00    55203.00
     3704.67    56494.00      514.00    57319.00
     3706.51    59562.00      528.00    59314.00
     3708.36    62288.00      537.00    61057.00
     3710.23    62575.00      538.00    62415.00
     3712.08    63284.00      546.00    63275.00
     3713.94    63585.00      543.00    63565.00
